OTU,G45057,G45068,G45071,G45075,G45092,G45099,G45108,G45117,G45123,G45226,G45227,G45250,Kingdom,Phylum,Class,Order,Family,Genus,Species
821,466548,232186,323121,1587348,2648406,156903,12615,2662015,8938,409247,33195,395617,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Phocaeicola, vulgatus
376805,583,4079,3550,20921,2821,1705,1418,4193,8565,3388,2247,908,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Phocaeicola, salanitronis
823,309534,91370,13130,95944,218506,60264,81664,385690,18670,60083,69859,71928,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides, distasonis
2025876,11260,17692,3709,3740,3642,11282,5149,4440,4362,8409,8596,6404,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides, sp. CT06
712710,86,344,95,169,100,86,350,39,66,91,164,47,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Tannerellaceae, Tannerella, sp. oral taxon HOT-286
28112,17,237,98,405,70,28,767,88,19,241,56,65,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Tannerellaceae, Tannerella, forsythia
214856,62548,21641,594,4677,47875,16056,15625,127324,8828,7864,2336,2524,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, finegoldii
328814,2919,366112,307,392,7210,33370,91876,3018,6103,53811,322,47663,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, shahii
626932,1925,11215,498,448,1026,338,1028,414,176,429,233,252,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, indistinctus
2585118,1954,68477,663,494,56856,2941,17893,3768,46769,4703,532,672,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, communis
328813,1712,18973,339,956,127824,81146,275485,4439,317689,4866,1200,7422,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, onderdonkii
2585119,318,6037,276,932,1756,1137,7972,1043,981,1737,271,341,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, dispar
2364787,305,4409,427,355,1510,2287,3893,147,1552,2840,371,245,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, megaguti
2662363,153,3342,547,744,367,270,1200,173,492,359,118,59,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, sp. dk3624
1433126,75,97,105,151,39,51,300,400,12,92,71,9,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Mucinivorans, hirudinis
2093856,17298,9809,1909,3748,14979,4422,33742,13359,8835,1869,4367,2399,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Odoribacteraceae, Butyricimonas, faecalis
28118,9009,2941,26604,5631,6598,15781,3089,6792,370,4305,1009,14007,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Odoribacteraceae, Odoribacter, splanchnicus
28132,4164,190,102,737,922,66,125,331,124,183,73,345,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, melaninogenica
589437,1798,263,46,299,2091,22,82,103,141,225,53,208,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, scopos
28131,816,509,453,1422,2276,333,1044,1065,498,1300,304,226,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, intermedia
1177574,927,123,83,628,606,26,107,16,15,57,31,40,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, jejuni
589436,707,113,41,585,471,25,113,113,36,134,49,32,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, fusca
839,121,178,116,981,44,46,157,86,91,135,114,110,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, ruminicola
28135,43,155,87,465,123,49,150,39,18,144,23,104,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, oris
76123,39,134,92,206,136,28,248,121,20,118,56,22,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, enoeca
52227,32,335,79,396,115,93,181,247,109,136,70,79,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, dentalis
652716,21,40,24,252,315,26,50,118,36,82,42,16,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, sp. oral taxon 299
28129,3,276,86,526,68,50,134,104,40,148,49,74,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, denticola
454155,1050,2213,968,8284,1005,513,3747,2600,623,1588,2334,3610,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Paraprevotella, xylaniphila
2133944,19,144,122,540,85,32,111,98,25,111,31,65,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Alloprevotella, sp. E39
2530390,200,323,191,606,213,216,637,46,190,730,115,162,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, Muribaculum, sp. TLL-A4
1796646,294,425,243,391,100,45,212,141,165,474,70,103,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, Muribaculum, intestinale
2518971,263,974,795,696,280,127,596,1700,152,815,283,152,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, Duncaniella, dubosii
397865,549,5426,240,1085,3043,598,4189,1367,211,1560,163,128,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Barnesiellaceae, Barnesiella, viscericola
837,70,345,214,517,194,73,433,265,57,199,150,176,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, gingivalis
36874,31,100,34,133,41,20,140,4,4,54,3,18,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, cangingivalis
393921,22,88,30,171,16,44,200,6,16,22,14,4,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, crevioricanis
28123,8,65,27,60,71,19,273,44,19,24,24,35,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, asaccharolytica
2714926,53,70,32,209,35,35,112,49,11,113,45,26,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Dysgonomonadaceae, Dysgonomonas, sp. HDW5A
1642647,45,156,102,537,33,30,232,101,27,121,51,70,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Dysgonomonadaceae, Proteiniphilum, saccharofermentans
1642646,16,199,257,589,126,193,203,50,77,132,33,37,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Dysgonomonadaceae, Petrimonas, mucosa
185300,35,129,97,483,39,46,195,108,41,136,33,109,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Paludibacteraceae, Paludibacter, propionicigenes
2590900,7,43,11,64,12,5,21,14,23,14,2,12,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Tenuifilaceae, Tenuifilum, thalassicum
1717717,20,34,62,106,33,35,63,6,31,90,52,31,Bacteria, Bacteroidetes, Bacteroidia, Marinilabiliales, Marinifilaceae, Labilibaculum, antarcticum
1168034,7,58,67,209,13,33,98,40,59,107,36,25,Bacteria, Bacteroidetes, Bacteroidia, Marinilabiliales, Prolixibacteraceae, Draconibacterium, orientale
2706887,4,67,29,174,25,27,72,6,32,25,27,24,Bacteria, Bacteroidetes, Bacteroidia, Marinilabiliales, Prolixibacteraceae, Draconibacterium, sp. M1
889453,10,41,42,124,43,18,59,25,44,68,47,33,Bacteria, Bacteroidetes, Bacteroidia, Marinilabiliales, Marinilabiliaceae, Alkalitalea, saponilacus
1307839,3,43,24,121,9,9,36,8,5,31,8,15,Bacteria, Bacteroidetes, Bacteroidia, Marinilabiliales, Salinivirgaceae, Salinivirga, cyanobacteriivorans
2294119,30,27,17,32,1,13,21,76,6,57,7,33,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. CJ74
1179672,16,38,41,51,13,58,27,9,32,187,30,21,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. KBS0721
2739062,12,21,31,38,13,13,18,69,8,19,9,20,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. M31R6
1979344,12,17,33,38,12,16,32,21,3,86,30,41,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. MDT1-60
2748319,13,12,25,33,0,22,50,1,10,19,27,32,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. I3-2
2614441,9,13,6,4,6,19,17,1,11,16,11,56,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. LPB0248
2249356,5,31,48,59,16,21,25,2,9,67,23,12,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. HYN0086
935222,5,12,11,12,7,3,15,15,4,65,7,8,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. Sr18
2478552,4,11,13,38,4,13,15,9,23,9,11,3,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. 140616W15
2654325,1,21,6,18,0,1,14,37,8,4,2,9,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, sp. xlx-214
986,70,43,50,148,16,25,48,32,24,73,60,50,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, johnsoniae
1617283,53,14,17,63,11,8,15,0,6,21,7,30,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, nitrogenifigens
459526,19,25,32,116,18,22,48,17,37,92,63,45,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, anhuiense
1678728,18,13,70,97,24,63,23,6,61,37,42,27,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, kingsejongi
2183896,19,13,23,23,30,10,37,24,27,102,25,24,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, crocinum
996,16,25,23,107,9,19,37,0,18,64,31,58,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, columnare
2602769,11,11,36,43,4,2,25,3,6,69,16,28,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, alkalisoli
2547394,9,7,8,50,11,9,21,12,18,16,33,13,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, nackdongense
1492737,9,28,29,61,23,8,32,21,72,45,30,19,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, gilvum
312277,6,5,8,38,3,3,8,3,1,6,8,4,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, indicum
1763534,5,9,3,5,0,7,18,1,3,9,9,19,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, crassostreae
1784713,4,26,9,33,5,2,19,1,4,11,3,2,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, arcticum
96345,4,8,15,6,4,5,22,1,7,10,19,15,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, psychrophilum
1306519,4,33,34,74,15,18,27,11,16,53,49,25,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, commune
683124,4,14,4,2,0,7,1,45,11,17,10,53,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, haoranii
2175091,3,53,15,25,9,7,28,23,7,17,11,10,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, album
55197,2,11,28,13,21,1,13,1,9,32,12,13,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, branchiophilum
2172098,1,43,36,35,7,11,19,2,17,52,51,27,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, pallidum
1355330,1,14,3,24,2,8,8,2,10,24,30,11,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, faecale
2686361,26,22,35,45,29,21,17,5,70,21,12,10,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, sp. L3A8
1312072,13,13,9,23,8,6,20,1,11,30,24,7,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, sp. SA4-12
1336804,8,6,11,9,4,14,12,10,13,116,12,18,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, sp. Hel1_33_78
2058137,7,9,13,73,10,7,10,2,9,67,5,16,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, sp. ALD11
754397,6,12,31,7,6,7,8,2,23,37,6,9,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, sp. SA4-10
313598,3,17,5,19,3,4,13,4,8,21,10,6,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, sp. MED152
2738844,3,15,9,12,2,7,24,2,20,27,11,20,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, sp. L12M9
1896175,7,10,7,2,0,4,10,6,5,4,2,2,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, sp. KT 15
996801,8,5,15,28,1,9,12,1,1,8,6,10,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, reichenbachii
1774273,6,7,5,6,8,9,14,18,17,37,24,26,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, vadi
1888915,2,8,8,4,12,2,10,5,8,36,18,8,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, haliotis
1316596,18,21,19,111,38,3,29,5,11,7,7,9,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, sp. oral taxon 878
1019,23,50,67,73,35,20,41,18,5,47,14,92,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, sputigena
1848904,15,23,9,129,78,2,25,35,9,79,38,23,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, stomatis
28189,19,19,30,76,1,25,45,1,8,28,32,11,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, cynodegmi
28188,12,26,31,55,5,15,36,2,11,76,31,22,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, canimorsus
1017,4,24,15,41,9,4,28,2,3,25,12,8,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, gingivalis
754417,8,4,12,16,5,15,13,2,21,39,13,12,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Winogradskyella, sp. PC-19
754409,6,12,12,23,9,5,34,2,17,12,18,40,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Winogradskyella, sp. PG-2
2686077,16,62,10,49,5,19,32,16,15,29,3,7,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Winogradskyella, forsetii
1382466,16,14,6,15,7,12,8,0,4,4,6,8,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Winogradskyella, sediminis
2697010,14,3,4,50,6,8,7,6,9,30,5,7,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Winogradskyella, helgolandensis
2686078,5,16,20,26,4,4,25,0,7,1,21,14,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Winogradskyella, schleiferi
313603,27,19,4,17,3,1,17,1,17,13,10,10,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Maribacter, sp. HTCC2170
1836467,1,21,13,76,12,9,12,32,5,21,9,21,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Maribacter, sp. T28
1644130,9,13,21,7,12,13,7,0,4,106,19,19,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Maribacter, sp. 1_2014MBL_MicDiv
1178778,5,38,24,54,6,17,19,6,23,14,34,20,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Maribacter, cobaltidurans
320912,17,12,14,21,0,23,24,0,47,35,3,43,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Maribacter, dokdonensis
76832,22,64,22,38,0,7,66,3,9,4,43,9,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Myroides, odoratimimus
2572594,6,14,12,27,22,0,18,2,13,18,20,30,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Myroides, sp. CJ210
1458492,8,0,0,0,4,0,1,0,8,2,2,0,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Myroides, sp. ZB35
702745,9,13,17,72,11,18,40,1,4,63,29,27,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Myroides, phaeus
256,2,9,4,14,1,2,18,4,8,19,28,4,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Myroides, odoratus
1336795,11,12,14,5,9,17,9,6,11,55,10,28,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Formosa, sp. Hel3_A1_48
2686363,7,14,30,123,6,6,19,9,11,41,9,31,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Formosa, sp. L2A11
1336794,5,9,8,29,3,7,7,2,2,1,10,4,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Formosa, sp. Hel1_33_131
1798225,1,7,6,39,8,1,23,4,20,11,9,61,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Formosa, sp. Hel1_31_208
320324,20,8,14,75,37,4,25,1,25,14,12,41,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Formosa, agariphila
2594004,3,16,11,46,6,9,23,1,6,25,10,3,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Formosa, sediminum
2736252,15,15,31,41,6,11,14,5,10,30,11,20,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Aquimarina, sp. TRL1
1714860,9,17,18,13,18,12,28,3,9,119,23,37,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Aquimarina, sp. BL5
1714848,9,15,13,22,5,11,22,2,10,24,19,26,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Aquimarina, sp. AD1
1714849,7,19,19,18,4,17,24,6,10,24,15,28,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Aquimarina, sp. AD10
398743,39,58,57,141,43,17,36,5,14,147,21,32,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Zunongwangia, profunda
2027857,36,20,10,95,36,14,12,18,11,69,28,21,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Mariniflexile, sp. TRM1-10
2608253,10,4,7,4,6,4,6,14,14,29,11,16,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Nonlabens, sp. Ci31
1336802,4,19,16,26,27,16,10,3,33,30,11,15,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Nonlabens, sp. Hel1_33_55
2058134,2,4,2,35,3,5,18,6,1,64,17,18,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Nonlabens, sp. MB-3u-79
331648,11,19,4,32,11,3,12,2,20,23,5,75,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Nonlabens, spongiae
319236,5,0,0,18,0,2,11,0,0,0,0,0,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Nonlabens, sediminis
2126553,8,23,11,46,5,17,32,1,18,55,15,32,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Gramella, fulva
1913577,7,7,11,41,4,10,5,3,8,113,3,5,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Gramella, salexigens
279359,7,8,19,69,3,15,35,18,6,35,34,29,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Gramella, echinicola
1250205,5,6,5,12,6,8,8,5,5,12,4,100,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Gramella, sp. MAR_2010_147
411153,3,8,4,165,5,36,29,4,19,83,13,38,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Gramella, forsetii
1486245,1,19,7,85,18,10,50,14,37,28,1,33,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Gramella, flava
2686365,11,14,12,57,29,4,27,22,14,22,6,13,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Algibacter, sp. L1A34
2686366,8,7,14,62,9,7,16,22,22,34,9,14,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Algibacter, sp. L3A6
1736674,10,12,7,35,9,14,22,3,4,53,3,3,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Algibacter, alginicilyticus
584609,8,13,16,27,27,14,34,18,10,27,8,11,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Tenacibaculum, jejuense
