# Pathway	G45057_Abundance	G45068_Abundance	G45071_Abundance	G45075_Abundance	G45092_Abundance	G45099_Abundance	G45108_Abundance	G45117_Abundance	G45123_Abundance	G45226_Abundance	G45227_Abundance	G45250_Abundance
UNINTEGRATED|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	798.464	973.297	0	77.9525	630.933	185.584	0	0	2167.21	0	709.341	366.902
UNINTEGRATED|g__Butyricicoccus.s__Butyricicoccus_pullicaecorum	0	0	0	0	0	1864.99	0	389.172	0	0	0	0
UNINTEGRATED|g__Campylobacter.s__Campylobacter_upsaliensis	0	0	59.1406	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA	1224.04	0	2189.35	0	1806.36	1250.66	0	683.27	0	0	880.407	0
UNINTEGRATED|g__Clostridium.s__Clostridium_asparagiforme	0	0	2352.9	0	997.067	2313.48	410.5	0	1233.43	0	1647.92	0
UNINTEGRATED|g__Clostridium.s__Clostridium_bolteae	7533.08	3787.08	8889.32	4281.94	2479.89	15856.9	2845.97	2556.6	0	6314.8	1280.78	4211.68
UNINTEGRATED|g__Clostridium.s__Clostridium_citroniae	0	298.695	1399.65	536.693	0	1789.22	1459.37	484.609	1629.34	0	661.326	0
UNINTEGRATED|g__Clostridium.s__Clostridium_clostridioforme	4115.47	0	10124	3341.46	3427.17	9914.48	0	2762.9	5631.11	9627.94	3404.34	5541.9
UNINTEGRATED|g__Clostridium.s__Clostridium_hathewayi	2451.53	823.429	3373.46	1370.34	1122.49	4065.36	1066.63	1262.48	2284.99	1789.76	967.298	0
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	0	0	0	0	0	2929.61	1914.08	0	890.582	0	16097.6	969.372
UNINTEGRATED|g__Clostridium.s__Clostridium_nexile	11428.9	1703.21	3478.49	0	0	3463.17	0	0	0	0	7099.09	0
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	111.551	0
UNINTEGRATED|g__Clostridium.s__Clostridium_scindens	0	0	1366.99	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_D5	0	0	0	0	0	0	0	751.526	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_KLE_1755	0	0	0	0	0	0	0	5413.93	10185.1	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_symbiosum	2300.8	1101.5	1779.48	0	1819.67	3571.92	0	1086.72	2159.97	3573.91	0	1244.81
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	0	1978.72	0	0	1659.42	0	4252.1	0	0	7200.57	6279.38	0
UNINTEGRATED|g__Coprobacter.s__Coprobacter_fastidiosus	0	0	313.066	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	0	2108.25	0	1400.31	0	0	0	0	0	0	2406.94	3388.18
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	0	3336.75	0	0	0	0	1925.98	0	0	0	0	0
UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus	0	18070.5	0	0	1910.66	0	0	0	1636.82	0	0	0
UNINTEGRATED|g__Coprococcus.s__Coprococcus_sp_ART55_1	0	0	0	0	0	0	0	0	0	0	0	12035.1
UNINTEGRATED|g__Dialister.s__Dialister_invisus	0	6263.18	6267.08	0	0	6786.07	0	0	0	3629.3	336.438	3969.12
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	0	3199.55	0	0	3630.17	0	2800.05	0	0	0	9281.82	0
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	0	219.806	0	2813.24	0	0	1950.55	0	0	4239.15	21272	6981.51
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	881.726	0	2141.12	535.827	293.211	1359.53	523.277	410.597	0	0	1507.63	1274.07
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Clostridium_innocuum	620.271	0	0	0	0	124.656	0	0	0	448.598	0	0
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Clostridium_ramosum	0	0	290.776	0	966.824	2642.57	221.901	1957.16	0	1880.09	0	0
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_21_3	0	0	946.675	0	0	0	0	706.39	0	0	470.481	0
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A	493.318	0	0	0	0	580.535	0	0	0	0	0	0
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_3_1_53	0	0	1960.08	0	0	0	0	0	0	0	0	1032.4
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_6_1_45	0	0	1871.19	0	0	0	0	0	0	0	781.737	0
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	0	0	0	1513.98	0	0	0	0	5417.24	0	0	0
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_cylindroides	0	0	0	0	0	0	464.338	0	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0	8685.09	669.326	0	0	987.021	0	97259.2	24839.9	0	20132.5	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	0	4772.1	0	4598.34	2294.9	0	1360.78	0	1506.41	9756.8	1198.3	2441.88
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	0	576.842	0	1672.87	1909.23	0	0	0	1121.81	1245.48	7106.4	3701.5
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	0	1465.72	0	1192.5	0	0	0	0	0	0	4048.23	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	0	7271.91	0	7408.78	0	0	43647	0	18902.5	0	2822.86	121031
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	0	3319.78	0	0	0	0	1807.97	0	0	0	0	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_3_1_31	0	0	0	0	0	0	0	0	1237.52	0	0	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	2734.18	3328.31	0	2677.26	0	0	0	5386	0
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	77783.5	49228.5	137702	90156.6	50266	156529	40589.4	33776.2	108462	38134.6	92019.2	79250.9
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	2918.42	875.463	708.048	0	2116.25	5059.6	1634.25	1398.3	1699.46	4217.43	4074.21	1963.8
UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_pamelaeae	0	149.84	0	0	0	0	0	0	0	0	0	91.7834
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	258.865	89.0497	976.095	137.981	0	0	0	305.894	11959.2	674.317	195.629	206.532
UNINTEGRATED|g__Haemophilus.s__Haemophilus_sputorum	0	0	0	0	0	0	0	0	139.381	0	0	0
UNINTEGRATED|g__Holdemania.s__Holdemania_filiformis	0	1818.8	2093.63	0	759.713	0	1190.75	578.959	1868.05	0	888.655	0
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	0	1078.7	0	0	0	0	0	0	0	0	0	1978.16
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_4_56FAA	1446.6	0	0	0	263.029	1262.07	0	297.324	741.614	879.765	0	0
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	1138.04	0	2148.17	530.945	2018.09	0	2409.09	0	995.546
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	0	925.858	0	0	0	0	0	0	3313.47	4884.88	1974.17	1083.17
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	2269.17	0	1971.42	0	1166.46	0	0	0	7399.23	2651.4	0	0
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	490.365	0	551.821	0	0	0	0	887.503	0	437.935
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	1313.62	5958.24	5106.76	2541.93	4114.34	2622.07	1379.84	12262	9560.61	9285.15	4656.41
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA	2742.45	1667.02	2909.97	0	3464.36	13515.1	1987.62	2044.68	3073.25	0	5682.15	2204.7
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	0	0	0	633.715	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_acidophilus	0	0	0	0	0	0	1237.16	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_casei_paracasei	0	540.968	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_rhamnosus	0	0	0	0	0	0	133.078	0	0	0	0	0
UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis	1676.81	791.121	0	0	0	202.409	415.686	0	0	0	10358.3	8794.39
UNINTEGRATED|g__Lactococcus.s__Lactococcus_raffinolactis	0	0	0	0	0	0	0	0	193.212	0	0	0
UNINTEGRATED|g__Megamonas.s__Megamonas_hypermegale	0	0	0	0	0	0	0	0	0	0	0	162.56
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	2067.12	0	0	726.061	0	0	0	0	0	0
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	32208.3	11025.5	0	11342.3	30746	5260.06	7680.1	31692.5	0	8084.95	6369.66	0
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	5564.68	0	0	0	1397.65	0	0	0	0	0
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	0	0	0	8610.78	0	0	15912	0	0	0	0	0
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	1128.43	1987.42	0	261.752	666.066	308.414	0	0	2987.13	0	856.376	524.625
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	376.269	311.198	363.145	238.341	284.621	427.571	275.577	446.257	1069.15	947.556	1196.31	401.965
UNINTEGRATED|g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus	0	0	0	0	0	13918.2	0	0	0	0	0	0
UNINTEGRATED|g__Raoultella.s__Raoultella_ornithinolytica	0	0	0	0	0	0	0	0	0	0	2410.55	0
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	0	953.124	0	3364.57	1497.2	0	1946.07	0	3988.22	4700.17	1124.93	4619.83
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	0	4728.59	0	3678.11	3775.4	0	4309.02	0	48174.5	0	4504.16	38945.3
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	0	1388.97	0	15036.8	2596.8	0	3818.33	0	10590.9	38909.8	1965	12854.3
UNINTEGRATED|g__Ruminococcaceae_noname.s__Ruminococcaceae_bacterium_D16	0	0	0	0	0	3039.04	0	0	2069.08	0	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	0	0	10245.1	7168.05	0	11182.8	0	0	0	29634.5	0	11262.4
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_callidus	0	4358.82	0	745.881	0	0	0	0	0	664.554	0	1990.21
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	0	2873.81	0	0	1538.44	0	0	0	0	0	0	2691.31
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0	2759.13	0	0	8142.79	0	8663.02	0	0	0	10440.4	22266.3
UNINTEGRATED|g__Solobacterium.s__Solobacterium_moorei	0	0	0	0	0	0	0	0	0	0	0	61.5576
UNINTEGRATED|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	0	115.637	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	152.562	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_lutetiensis	747.121	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0	0	0	0	470.546	0	748.866	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	158.57	342.697	0	0	292.469	0	100.054	0	649.828	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	567.957	579.524	986.79	1670.53	197.168	778.235	0	701.085	1123.67	718.239	3685.72	1425.72
UNINTEGRATED|g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	0	206.888	129.376	120.189	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	1477.52	0	3782.71	0	0	0	1325.3	0	340.933	361.606	739.162	619.189
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	0	0	0	0	0	0	0	0	0	0	0	66.2886
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_4_3_54A2FAA	0	0	0	0	0	0	0	0	0	0	1973.43	0
UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	0	0	0	0	0	0	19088.1	0	0	307.657	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_atypica	1107.69	0	137.676	493.499	0	0	0	0	535.063	98.006	1147.43	108.909
UNINTEGRATED|g__Veillonella.s__Veillonella_dispar	501.384	0	0	482.798	0	0	0	0	584.988	0	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	1398.52	77.3668	190.329	637.206	0	350.831	0	653.397	709.713	84.2953	75.0757	133.473
UNINTEGRATED|unclassified	81660.8	102061	121890	84351.6	91127.7	70211.3	92820.1	53538.3	86932.6	157279	98127.1	99043.9
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	372.459	314.884	300.411	363.543	363.392	267.753	367.657	385.058	259.241	290.812	275.312	355.254
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0	1.82296	0	0.837272	0	28.5813	0	0	0	0	0	0.358836
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0	14.949	7.83805	0	11.727	0	0	0	0	9.33493	10.8927	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	11.1956	0	0	0	0	13.1509	19.0261	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	4.85513	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_faecis	0	0	22.2213	23.8327	0	0	8.43892	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	66.7494	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	25.607	0	5.55313	0	1.31279	2.3111	0	0	0	6.95803	0	4.58014
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	2.80423	17.852	0	5.58665	12.7673	0	0	7.45365	13.3547	13.0909
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	17.0418	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	2.72414	0	0	3.96737	0	0	0	0	5.3982	1.52069	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0	49.7949	13.5946	48.161	0	35.7638	30.1196	110.342	114.707	12.2456	29.4712	59.2343
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0.762794	0	3.03158	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	0	1.16923	0	0	0	0	0	12.0305	2.20342	0	2.58398	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Lactococcus.s__Lactococcus_lactis	0.854254	0	0	0	0	0	0	0	0	0	6.4539	5.56322
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	24.5846	4.72651	0	2.68326	12.274	3.19866	3.67591	15.0205	0	2.42242	0.453548	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	2.22617	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	0	0	0	2.23155	0	0	7.34602	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	19.8407	0	29.8214	20.3413	7.89349	10.613	0	5.40763	0	5.67051	10.6273	21.0055
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	1.93396	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	1.64785	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0	0	0	0	0.559718	0	0	0	0	0.528794	0	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0.559718	0	0	0	0	0.528794	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0.170974	0	0	4.95065	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0.170974	0	0	4.95065	0	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	0	0	0	0	48.578	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	325.615	216.776	269.478	209.955	289.788	86.7533	150.328	190.69	196.924	188.654	234.456	198.589
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	1.43551	0	0	0	0	0	20.0525	4.37508	0	5.06409	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Lactococcus.s__Lactococcus_lactis	1.17619	0	0	0	0	0	0	0	0	0	10.2516	8.11428
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0	0	0	0	0	0	9.12295	0	0	0	11.7933	11.0082
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	523.227	450.221	556.69	480.778	425.116	495.841	372.889	362.47	427.99	523.958	444.498	451.68
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_shahii	0	44.6294	0	0	0	2.97342	11.0048	0	0	4.50325	0	4.1385
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_ovatus	181.155	15.5649	55.6804	16.51	90.4661	7.85066	16.239	0	0	12.5886	20.5381	23.9806
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	5.84078	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	0	2.5135	0	0	0	0	0	22.3065	5.91582	0	5.87428	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	1.05311	0	0	0	0	0	16.5831	0.859072	0	0.229853
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactococcus.s__Lactococcus_lactis	1.20704	0.371918	0	0	0	0	0.729236	0	0	0	10.049	8.33001
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	1.61444	0	0	1.28799	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Raoultella.s__Raoultella_ornithinolytica	0	0	0	0	0	0	0	0	0	0	0.594714	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	0	0.268208	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0	0	0	0	0	0	0.644038	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0	0	0	0	11.3529	0	7.18371	14.4539	0	0	33.0073	45.7135
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	25.888	35.6265	12.3026	39.6879	26.4146	14.4702	27.9795	67.0881	100.648	15.5657	37.6774	63.8677
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	0	1.20315	0	0	0	0	0	19.2236	3.50673	0	3.12359	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	6.87	0	0
